순위,노래,아티스트,노래링크,아티스트링크
1,Love 119,RIIZE,javascript:;,https://music.bugs.co.kr/artist/80384286?wl_ref=list_tr_10_chart
2,To. X,태연 (TAEYEON),javascript:;,https://music.bugs.co.kr/artist/80026437?wl_ref=list_tr_10_chart
3,Perfect Night,LE SSERAFIM (르세라핌),javascript:;,https://music.bugs.co.kr/artist/20158908?wl_ref=list_tr_10_chart
4,에피소드,이무진,javascript:;,https://music.bugs.co.kr/artist/20056684?wl_ref=list_tr_10_chart
5,Drama,aespa,javascript:;,https://music.bugs.co.kr/artist/80347326?wl_ref=list_tr_10_chart
6,비의 랩소디,임재현,javascript:;,https://music.bugs.co.kr/artist/20031632?wl_ref=list_tr_10_chart
7,Get A Guitar,RIIZE,javascript:;,https://music.bugs.co.kr/artist/80384286?wl_ref=list_tr_10_chart
8,MANIAC,VIVIZ (비비지),javascript:;,https://music.bugs.co.kr/artist/20153689?wl_ref=list_tr_10_chart
9,I AM,IVE (아이브),javascript:;,https://music.bugs.co.kr/artist/20148657?wl_ref=list_tr_10_chart
10,그대만 있다면 (여름날 우리 X 너드커넥션 (Nerd Connection)),너드커넥션(Nerd Connection),javascript:;,https://music.bugs.co.kr/artist/20063172?wl_ref=list_tr_10_chart
11,You & Me,제니 (JENNIE),javascript:;,https://music.bugs.co.kr/artist/80265678?wl_ref=list_tr_10_chart
12,Baddie,IVE (아이브),javascript:;,https://music.bugs.co.kr/artist/20148657?wl_ref=list_tr_10_chart
13,Ditto,NewJeans,javascript:;,https://music.bugs.co.kr/artist/20164333?wl_ref=list_tr_10_chart
14,ETA,NewJeans,javascript:;,https://music.bugs.co.kr/artist/20164333?wl_ref=list_tr_10_chart
15,헤어지자 말해요,박재정,javascript:;,https://music.bugs.co.kr/artist/80169222?wl_ref=list_tr_10_chart
16,인사,범진,javascript:;,https://music.bugs.co.kr/artist/20058357?wl_ref=list_tr_10_chart
17,Love Lee,AKMU(악뮤),javascript:;,https://music.bugs.co.kr/artist/80141499?wl_ref=list_tr_10_chart
18,첫 눈,EXO,javascript:;,https://music.bugs.co.kr/artist/80155940?wl_ref=list_tr_10_chart
19,한 페이지가 될 수 있게,DAY6 (데이식스),javascript:;,https://music.bugs.co.kr/artist/80245739?wl_ref=list_tr_10_chart
20,후라이의 꿈,AKMU(악뮤),javascript:;,https://music.bugs.co.kr/artist/80141499?wl_ref=list_tr_10_chart
21,Super Shy,NewJeans,javascript:;,https://music.bugs.co.kr/artist/20164333?wl_ref=list_tr_10_chart
22,Seven (feat. Latto) - Clean Ver.,정국,javascript:;,https://music.bugs.co.kr/artist/80180889?wl_ref=list_tr_10_chart
23,Discord,QWER,javascript:;,https://music.bugs.co.kr/artist/13456593?wl_ref=list_tr_10_chart
24,Talk Saxy,RIIZE,javascript:;,https://music.bugs.co.kr/artist/80384286?wl_ref=list_tr_10_chart
25,Hype Boy,NewJeans,javascript:;,https://music.bugs.co.kr/artist/20164333?wl_ref=list_tr_10_chart
26,Standing Next to You,정국,javascript:;,https://music.bugs.co.kr/artist/80180889?wl_ref=list_tr_10_chart
27,Spicy,aespa,javascript:;,https://music.bugs.co.kr/artist/80347326?wl_ref=list_tr_10_chart
28,Chill Kill,Red Velvet (레드벨벳),javascript:;,https://music.bugs.co.kr/artist/80199440?wl_ref=list_tr_10_chart
29,Off The Record,IVE (아이브),javascript:;,https://music.bugs.co.kr/artist/20148657?wl_ref=list_tr_10_chart
30,Kitsch,IVE (아이브),javascript:;,https://music.bugs.co.kr/artist/20148657?wl_ref=list_tr_10_chart
31,Steal The Show (From “엘리멘탈”),Lauv(라우브),javascript:;,https://music.bugs.co.kr/artist/80286124?wl_ref=list_tr_10_chart
32,Either Way,IVE (아이브),javascript:;,https://music.bugs.co.kr/artist/20148657?wl_ref=list_tr_10_chart
33,잠시라도 우리,"성시경


성시경",javascript:;,https://music.bugs.co.kr/artist/2946?wl_ref=list_tr_10_chart
34,너의 모든 순간,성시경,javascript:;,https://music.bugs.co.kr/artist/2946?wl_ref=list_tr_10_chart
35,화이트 (White),폴킴(Paul Kim),javascript:;,https://music.bugs.co.kr/artist/80178689?wl_ref=list_tr_10_chart
36,Attention,NewJeans,javascript:;,https://music.bugs.co.kr/artist/20164333?wl_ref=list_tr_10_chart
37,OMG,NewJeans,javascript:;,https://music.bugs.co.kr/artist/20164333?wl_ref=list_tr_10_chart
38,GODS,"NewJeans


NewJeans",javascript:;,https://music.bugs.co.kr/artist/20164333?wl_ref=list_tr_10_chart
39,별 떨어진다 (I Do),디오 (D.O.),javascript:;,https://music.bugs.co.kr/artist/80203317?wl_ref=list_tr_10_chart
40,퀸카 (Queencard),(여자)아이들,javascript:;,https://music.bugs.co.kr/artist/20056456?wl_ref=list_tr_10_chart
41,After LIKE,IVE (아이브),javascript:;,https://music.bugs.co.kr/artist/20148657?wl_ref=list_tr_10_chart
42,사랑할 수밖에,볼빨간사춘기,javascript:;,https://music.bugs.co.kr/artist/80210668?wl_ref=list_tr_10_chart
43,Stuck In A Maze,포레스텔라(Forestella),javascript:;,https://music.bugs.co.kr/artist/80303673?wl_ref=list_tr_10_chart
44,주저하는 연인들을 위해,잔나비,javascript:;,https://music.bugs.co.kr/artist/80188909?wl_ref=list_tr_10_chart
45,DASH,NMIXX,javascript:;,https://music.bugs.co.kr/artist/80365655?wl_ref=list_tr_10_chart
46,"잘 지내자, 우리 (여름날 우리 X 로이킴)",로이킴,javascript:;,https://music.bugs.co.kr/artist/80137715?wl_ref=list_tr_10_chart
47,LOVE DIVE,IVE (아이브),javascript:;,https://music.bugs.co.kr/artist/20148657?wl_ref=list_tr_10_chart
48,사건의 지평선,윤하(Younha/ユンナ),javascript:;,https://music.bugs.co.kr/artist/80010025?wl_ref=list_tr_10_chart
49,I Don’t Think That I Like Her,Charlie Puth(찰리 푸스),javascript:;,https://music.bugs.co.kr/artist/80221620?wl_ref=list_tr_10_chart
50,숲,최유리,javascript:;,https://music.bugs.co.kr/artist/20084746?wl_ref=list_tr_10_chart
51,"이브, 프시케 그리고 푸른 수염의 아내",LE SSERAFIM (르세라핌),javascript:;,https://music.bugs.co.kr/artist/20158908?wl_ref=list_tr_10_chart
52,달빛에 그려지는,미연 ((여자)아이들),javascript:;,https://music.bugs.co.kr/artist/80307306?wl_ref=list_tr_10_chart
53,넌 쉽게 말했지만,소수빈,javascript:;,https://music.bugs.co.kr/artist/80132726?wl_ref=list_tr_10_chart
54,Off My Face,Justin Bieber(저스틴 비버),javascript:;,https://music.bugs.co.kr/artist/80057730?wl_ref=list_tr_10_chart
55,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU(악뮤),javascript:;,https://music.bugs.co.kr/artist/80141499?wl_ref=list_tr_10_chart
56,New Jeans,NewJeans,javascript:;,https://music.bugs.co.kr/artist/20164333?wl_ref=list_tr_10_chart
57,Fast Forward,전소미,javascript:;,https://music.bugs.co.kr/artist/80259077?wl_ref=list_tr_10_chart
58,Dangerously,Charlie Puth(찰리 푸스),javascript:;,https://music.bugs.co.kr/artist/80221620?wl_ref=list_tr_10_chart
59,사막에서 꽃을 피우듯,우디(Woody),javascript:;,https://music.bugs.co.kr/artist/80101425?wl_ref=list_tr_10_chart
60,머물러주오 (Prod. 안신애 & Philtre),소수빈,javascript:;,https://music.bugs.co.kr/artist/80132726?wl_ref=list_tr_10_chart
61,"Smoke (Prod. Dynamicduo, Padi)","다이나믹 듀오


다이나믹 듀오",javascript:;,https://music.bugs.co.kr/artist/65291?wl_ref=list_tr_10_chart
62,파이팅 해야지 (Feat. 이영지),부석순(SEVENTEEN),javascript:;,https://music.bugs.co.kr/artist/20053997?wl_ref=list_tr_10_chart
63,예뻤어,DAY6 (데이식스),javascript:;,https://music.bugs.co.kr/artist/80245739?wl_ref=list_tr_10_chart
64,손오공,세븐틴(SEVENTEEN),javascript:;,https://music.bugs.co.kr/artist/80232283?wl_ref=list_tr_10_chart
65,Underwater,권은비,javascript:;,https://music.bugs.co.kr/artist/80321904?wl_ref=list_tr_10_chart
66,DIE 4 YOU,DEAN(딘),javascript:;,https://music.bugs.co.kr/artist/80241323?wl_ref=list_tr_10_chart
67,사랑은 늘 도망가,임영웅,javascript:;,https://music.bugs.co.kr/artist/80265501?wl_ref=list_tr_10_chart
68,UNFORGIVEN (feat. Nile Rodgers),LE SSERAFIM (르세라핌),javascript:;,https://music.bugs.co.kr/artist/20158908?wl_ref=list_tr_10_chart
69,그대가 내 안에 박혔다,황치열,javascript:;,https://music.bugs.co.kr/artist/80020677?wl_ref=list_tr_10_chart
70,취중고백,김민석,javascript:;,https://music.bugs.co.kr/artist/80223134?wl_ref=list_tr_10_chart
71,음악의 신,세븐틴(SEVENTEEN),javascript:;,https://music.bugs.co.kr/artist/80232283?wl_ref=list_tr_10_chart
72,STAY,"The Kid LAROI


The Kid LAROI",javascript:;,https://music.bugs.co.kr/artist/80333705?wl_ref=list_tr_10_chart
73,"Yes or No (Feat. 허윤진 of LE SSERAFIM, Crush)",그루비룸 (GroovyRoom),javascript:;,https://music.bugs.co.kr/artist/20010769?wl_ref=list_tr_10_chart
74,"밤, 바다",최유리,javascript:;,https://music.bugs.co.kr/artist/20084746?wl_ref=list_tr_10_chart
75,Baggy Jeans,NCT U,javascript:;,https://music.bugs.co.kr/artist/80259109?wl_ref=list_tr_10_chart
76,사랑인가 봐,멜로망스(MeloMance),javascript:;,https://music.bugs.co.kr/artist/80223033?wl_ref=list_tr_10_chart
77,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴(Paul Kim),javascript:;,https://music.bugs.co.kr/artist/80178689?wl_ref=list_tr_10_chart
78,Summer (Feat. BE’O (비오)),Paul Blanco,javascript:;,https://music.bugs.co.kr/artist/20046228?wl_ref=list_tr_10_chart
79,I Love You (Prod. 김도훈),홍이삭,javascript:;,https://music.bugs.co.kr/artist/80193057?wl_ref=list_tr_10_chart
80,Rewrite The Stars,"Zac Efron(잭 에프론)


Zac Efron(잭 에프론)",javascript:;,https://music.bugs.co.kr/artist/80020779?wl_ref=list_tr_10_chart
81,어른,Sondia,javascript:;,https://music.bugs.co.kr/artist/80123962?wl_ref=list_tr_10_chart
82,Snowman,Sia(시아),javascript:;,https://music.bugs.co.kr/artist/80010088?wl_ref=list_tr_10_chart
83,건물 사이에 피어난 장미 (Rose Blossom),H1-KEY (하이키),javascript:;,https://music.bugs.co.kr/artist/12431488?wl_ref=list_tr_10_chart
84,미워 (Ego),Crush,javascript:;,https://music.bugs.co.kr/artist/80142603?wl_ref=list_tr_10_chart
85,지극히 사적인 얘기,다비치,javascript:;,https://music.bugs.co.kr/artist/80041466?wl_ref=list_tr_10_chart
86,다정히 내 이름을 부르면,"경서예지


경서예지",javascript:;,https://music.bugs.co.kr/artist/20105641?wl_ref=list_tr_10_chart
87,Melt Away,태연 (TAEYEON),javascript:;,https://music.bugs.co.kr/artist/80026437?wl_ref=list_tr_10_chart
88,I Love You,안세하,javascript:;,https://music.bugs.co.kr/artist/80248734?wl_ref=list_tr_10_chart
89,운이 좋았지,권진아,javascript:;,https://music.bugs.co.kr/artist/80182768?wl_ref=list_tr_10_chart
90,Cool With You,NewJeans,javascript:;,https://music.bugs.co.kr/artist/20164333?wl_ref=list_tr_10_chart
91,Bubble,STAYC(스테이씨),javascript:;,https://music.bugs.co.kr/artist/80347276?wl_ref=list_tr_10_chart
92,심(心),DK(디셈버),javascript:;,https://music.bugs.co.kr/artist/80094970?wl_ref=list_tr_10_chart
93,그대가 내 안에 박혔다(그내박),순순희(기태),javascript:;,https://music.bugs.co.kr/artist/20055618?wl_ref=list_tr_10_chart
94,ANTIFRAGILE,LE SSERAFIM (르세라핌),javascript:;,https://music.bugs.co.kr/artist/20158908?wl_ref=list_tr_10_chart
95,입술 (Feat. 10CM),헤이즈(Heize),javascript:;,https://music.bugs.co.kr/artist/80178434?wl_ref=list_tr_10_chart
96,Try Again,소수빈,javascript:;,https://music.bugs.co.kr/artist/80132726?wl_ref=list_tr_10_chart
97,내일 얘기해,"릴러말즈 (Leellamarz)


릴러말즈 (Leellamarz)",javascript:;,https://music.bugs.co.kr/artist/20040756?wl_ref=list_tr_10_chart
98,When I Get Old,"Christopher(크리스토퍼)


Christopher(크리스토퍼)",javascript:;,https://music.bugs.co.kr/artist/80197801?wl_ref=list_tr_10_chart
99,소년,10CM,javascript:;,https://music.bugs.co.kr/artist/80067149?wl_ref=list_tr_10_chart
100,Love U Like That,Lauv(라우브),javascript:;,https://music.bugs.co.kr/artist/80286124?wl_ref=list_tr_10_chart
